CMSG_GM_REQUEST_PLAYER_INFO	0x022F
CMSG_GM_RESURRECT	0x022A
CMSG_GM_REVEALTO	0x0229
CMSG_GM_SET_CRITERIA_FOR_PLAYER	0x04C6
CMSG_GM_SET_SECURITY_GROUP	0x01F9
CMSG_GM_SHOW_COMPLAINTS	0x03CA
CMSG_GM_SILENCE	0x0228
CMSG_GM_SUMMONMOB	0x022B
CMSG_GM_TEACH	0x020F
CMSG_GM_UBERINVIS	0x022E
CMSG_GM_UNSQUELCH	0x03CB
CMSG_GM_UNTEACH	0x02E5
CMSG_GM_UPDATE_TICKET_STATUS	0x0327
CMSG_GM_VISION	0x0226
CMSG_GM_WHISPER	0x03B2
CMSG_GODMODE	0x0022
CMSG_GOSSIP_HELLO	0x017B
CMSG_GOSSIP_SELECT_OPTION	0x017C
CMSG_GRANT_LEVEL	0x040D
CMSG_GROUP_ACCEPT	0x0072
CMSG_GROUP_ASSISTANT_LEADER	0x028F
CMSG_GROUP_CANCEL	0x0070
CMSG_GROUP_CHANGE_SUB_GROUP	0x027E
CMSG_GROUP_DECLINE	0x0073
CMSG_GROUP_DISBAND	0x007B
CMSG_GROUP_INVITE	0x006E
CMSG_GROUP_RAID_CONVERT	0x028E
CMSG_GROUP_SET_LEADER	0x0078
CMSG_GROUP_SWAP_SUB_GROUP	0x0280
CMSG_GROUP_UNINVITE	0x0075
CMSG_GROUP_UNINVITE_GUID	0x0076
CMSG_GUILD_ACCEPT	0x0084
CMSG_GUILD_ADD_RANK	0x0232
CMSG_GUILD_BANKER_ACTIVATE	0x03E6
CMSG_GUILD_BANK_BUY_TAB	0x03EA
CMSG_GUILD_BANK_DEPOSIT_MONEY	0x03EC
CMSG_GUILD_BANK_QUERY_TAB	0x03E7
CMSG_GUILD_BANK_SWAP_ITEMS	0x03E9
CMSG_GUILD_BANK_UPDATE_TAB	0x03EB
CMSG_GUILD_BANK_WITHDRAW_MONEY	0x03ED
CMSG_GUILD_CREATE	0x0081
CMSG_GUILD_DECLINE	0x0085
CMSG_GUILD_DEL_RANK	0x0233
CMSG_GUILD_DEMOTE	0x008C
CMSG_GUILD_DISBAND	0x008F
CMSG_GUILD_INFO	0x0087
CMSG_GUILD_INFO_TEXT	0x02FC
CMSG_GUILD_INVITE	0x0082
CMSG_GUILD_LEADER	0x0090
CMSG_GUILD_LEAVE	0x008D
CMSG_GUILD_MOTD	0x0091
CMSG_GUILD_PROMOTE	0x008B
CMSG_GUILD_QUERY	0x4426
CMSG_GUILD_RANK	0x0231
CMSG_GUILD_REMOVE	0x008E
CMSG_GUILD_ROSTER	0x0089
CMSG_GUILD_SET_OFFICER_NOTE	0x0235
CMSG_GUILD_SET_PUBLIC_NOTE	0x0234
CMSG_HEARTH_AND_RESURRECT	0x049C
CMSG_IGNORE_DIMINISHING_RETURNS_CHEAT	0x0405
CMSG_IGNORE_KNOCKBACK_CHEAT	0x032C
CMSG_IGNORE_REQUIREMENTS_CHEAT	0x03A8
CMSG_IGNORE_TRADE	0x0119
CMSG_INITIATE_TRADE	0x0116
CMSG_INSPECT	0x0114
CMSG_INSTANCE_LOCK_RESPONSE	0x013F
CMSG_ITEM_NAME_QUERY	0x02C4
CMSG_ITEM_QUERY_MULTIPLE	0x0057
CMSG_ITEM_QUERY_SINGLE	0x0056
CMSG_ITEM_REFUND	0x04B4
CMSG_ITEM_REFUND_INFO	0x04B3
CMSG_ITEM_TEXT_QUERY	0x0243
CMSG_JOIN_CHANNEL	0x0097
CMSG_KEEP_ALIVE	0x0015
CMSG_LEARN_DANCE_MOVE	0x0456
CMSG_LEARN_PREVIEW_TALENTS	0x04C1
CMSG_LEARN_PREVIEW_TALENTS_PET	0x04C2
CMSG_LEARN_SPELL	0x0010
CMSG_LEARN_TALENT	0x0251
CMSG_LEAVE_BATTLEFIELD	0x02E1
CMSG_LEAVE_CHANNEL	0x0098
CMSG_LEVEL_CHEAT	0x0025
CMSG_LFD_PARTY_LOCK_INFO_REQUEST	0x0371
CMSG_LFD_PLAYER_LOCK_INFO_REQUEST	0x036E
CMSG_LFG_GET_STATUS	0x0296
CMSG_LFG_JOIN	0x035C
CMSG_LFG_LEAVE	0x035D
CMSG_LFG_PROPOSAL_RESULT	0x0362
CMSG_LFG_SET_BOOT_VOTE	0x036C
CMSG_LFG_SET_NEEDS	0x036B
CMSG_LFG_SET_ROLES	0x036A
CMSG_LFG_TELEPORT	0x0370
CMSG_LIST_INVENTORY	0x019E
CMSG_LOADING_SCREEN_NOTIFY	0x2422
CMSG_LOAD_DANCES	0x044D
CMSG_LOGOUT_CANCEL	0x2324
CMSG_LOGOUT_REQUEST	0x0A25
CMSG_LOG_DISCONNECT	0x446D
CMSG_LOOT	0x015D
CMSG_LOOT_MASTER_GIVE	0x02A3
CMSG_LOOT_METHOD	0x007A
CMSG_LOOT_MONEY	0x015E
CMSG_LOOT_RELEASE	0x015F
CMSG_LOOT_ROLL	0x02A0
CMSG_LOTTERY_QUERY_OBSOLETE	0x0334
CMSG_LUA_USAGE	0x0323
CMSG_MAELSTROM_GM_SENT_MAIL	0x0395
CMSG_MAELSTROM_INVALIDATE_CACHE	0x0387
CMSG_MAELSTROM_RENAME_GUILD	0x0400
CMSG_MAIL_CREATE_TEXT_ITEM	0x024A
CMSG_MAIL_DELETE	0x0249
CMSG_MAIL_MARK_AS_READ	0x0247
CMSG_MAIL_RETURN_TO_SENDER	0x0248
CMSG_MAIL_TAKE_ITEM	0x0246
CMSG_MAIL_TAKE_MONEY	0x0245
CMSG_MAKEMONSTERATTACKGUID	0x0016
CMSG_MESSAGECHAT	0x0095
CMSG_MINIGAME_MOVE	0x02F8
CMSG_MOUNTSPECIAL_ANIM	0x0171
CMSG_MOVE_CHARACTER_CHEAT	0x000D
CMSG_MOVE_CHARM_PORT_CHEAT	0x00E0
CMSG_MOVE_CHNG_TRANSPORT	0x038D
CMSG_MOVE_FALL_RESET	0x02CA
CMSG_MOVE_FEATHER_FALL_ACK	0x02CF
CMSG_MOVE_GRAVITY_DISABLE_ACK	0x04CF
CMSG_MOVE_GRAVITY_ENABLE_ACK	0x04D1
CMSG_MOVE_HOVER_ACK	0x00F6
CMSG_MOVE_KNOCK_BACK_ACK	0x00F0
CMSG_MOVE_NOT_ACTIVE_MOVER	0x02D1
CMSG_MOVE_SET_CAN_FLY_ACK	0x0345
CMSG_MOVE_SET_CAN_TRANSITION_BETWEEN_SWIM_AND_FLY_ACK	0x0340
CMSG_MOVE_SET_COLLISION_HGT_ACK	0x0517
CMSG_MOVE_SET_FLY	0x0346
CMSG_MOVE_SET_RAW_POSITION	0x00E1
CMSG_MOVE_SET_RUN_SPEED	0x03AB
CMSG_MOVE_SPLINE_DONE	0x02C9
CMSG_MOVE_START_SWIM_CHEAT	0x02D8
CMSG_MOVE_STOP_SWIM_CHEAT	0x02D9
CMSG_MOVE_TIME_SKIPPED	0x02CE
CMSG_MOVE_WATER_WALK_ACK	0x02D0
CMSG_NAME_QUERY	0x2224
CMSG_NEW_SPELL_SLOT	0x012D
CMSG_NEXT_CINEMATIC_CAMERA	0x00FB
CMSG_NO_SPELL_VARIANCE	0x0416
CMSG_NPC_TEXT_QUERY	0x017F
CMSG_OFFER_PETITION	0x01C3
CMSG_OPENING_CINEMATIC	0x00F9
CMSG_OPEN_ITEM	0x00AC
CMSG_OPT_OUT_OF_LOOT	0x0409
CMSG_PAGE_TEXT_QUERY	0x6614
CMSG_PARTY_SILENCE	0x03DD
CMSG_PARTY_UNSILENCE	0x03DE
CMSG_PERFORM_ACTION_SET	0x014C
CMSG_PETGODMODE	0x001C
CMSG_PETITION_BUY	0x01BD
CMSG_PETITION_QUERY	0x01C6
CMSG_PETITION_SHOWLIST	0x01BB
CMSG_PETITION_SHOW_SIGNATURES	0x01BE
CMSG_PETITION_SIGN	0x01C0
CMSG_PET_ABANDON	0x0176
CMSG_PET_ACTION	0x0175
CMSG_PET_CANCEL_AURA	0x026B
CMSG_PET_CAST_SPELL	0x01F0
CMSG_PET_LEARN_TALENT	0x047A
CMSG_PET_LEVEL_CHEAT	0x0026
CMSG_PET_NAME_QUERY	0x6F24
CMSG_PET_RENAME	0x0177
CMSG_PET_SET_ACTION	0x0174
CMSG_PET_SPELL_AUTOCAST	0x02F3
CMSG_PET_STOP_ATTACK	0x02EA
CMSG_PET_UNLEARN	0x02F0
CMSG_PET_UNLEARN_TALENTS	0x047B
CMSG_PING	0x444D
CMSG_PLAYED_TIME	0x01CC
CMSG_PLAYER_AI_CHEAT	0x026C
CMSG_PLAYER_LOGIN	0x05B1
CMSG_PLAYER_LOGOUT	0x0000
